1273969550820732928,RT @Savitri4Ever: Chene scientists are amazing. They've concluded that #ChineseVirus #CCPVirus #WuhanVirus can last 20 years at -4 degree C…,ChineseVirus CCPVirus WuhanVirus,en,Fri Jun 19 13:23:04 +0000 2020,75943020,Maverick L G 🇮🇳,,,,India
1273969672686354432,"#Covid in #China caused by European salmon? #Communist regime must not abuse our patience, but respond with billionaire compensation if responsibilities are ascertained. I don't want anyone in #italian government to be silent on this out of interest... #CCP #M5S #CCPVirus https://t.co/obk7HnyOWf",Covid China Communist italian CCP M5S CCPVirus,en,Fri Jun 19 13:23:33 +0000 2020,576128417,Max Ferrari,,,,"Varese, Lombardia"
1273970027021119488,"""Stayin' Inside"" - Corona Virus Bee Gees Parody
22 Mar 2020

1 minute 30 seconds

VIDEO https://t.co/uZbESnHG3j 

#CoronaVirus #WuhanVirus #COVID19 #CCPVirus

qt-covid19-news-218 by #BorderObserver https://t.co/QNwKJYpWxm",CoronaVirus WuhanVirus COVID19 CCPVirus BorderObserver,en,Fri Jun 19 13:24:58 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1273971069662179328,"RT @PatriotM1A777: Google threatened to ban the Federalist, a right-leaning news website for telling the truth about #CCPVirus 

China Trie…",CCPVirus,en,Fri Jun 19 13:29:06 +0000 2020,27359464,john starzaki,,,,Somewhere in eastern US
1273971566066446338,"@Jax18W @amandpms @_ReaalAmerican_ @mattgaetz @RepMattGaetz #ChinaLiedAndPeopleDied 

Hmm Trump has China by the balls and was squeezing hard. They didn’t want to sign that new trade agreement &amp; funny how the virus just “got out” right after that &amp; while going into an election yr😏I’m sure it was just a “coincidence”😆",ChinaLiedAndPeopleDied,en,Fri Jun 19 13:31:05 +0000 2020,23717374,Living in Idiocracy,,,,"Tampa, FL"
1273972496623173632,"RT @PatriotM1A777: Google threatened to ban the Federalist, a right-leaning news website for telling the truth about #CCPVirus 

China Trie…",CCPVirus,en,Fri Jun 19 13:34:47 +0000 2020,759051618625032193,❌LOVEMYPRESIDENT❌,,,,"Florida, USA"
1273972836240166913,"RT @PaulLaw60654084: @subtotomato 唔好意思阻阻你可唔可以幫手簽個名: 
希望美國幫香港追討中國武漢肺炎所帶泥嘅損失，顯示香港同美國反共同一陣線
https://t.co/uOFFI0ngYB
#MakeChinaPay 
#ChinaLiedP…",MakeChinaPay,zh,Fri Jun 19 13:36:08 +0000 2020,1122292340,Tomato😷長期追擊好撚難食嘅元氣,,,,Freedom 
1273972849708093445,"RT @PatriotM1A777: Google threatened to ban the Federalist, a right-leaning news website for telling the truth about #CCPVirus 

China Trie…",CCPVirus,en,Fri Jun 19 13:36:11 +0000 2020,29027457,ltlgcoach,,,,"Sugar Land, Texas"
1273973285315723265,"RT @PatriotM1A777: Google threatened to ban the Federalist, a right-leaning news website for telling the truth about #CCPVirus 

China Trie…",CCPVirus,en,Fri Jun 19 13:37:55 +0000 2020,40708919,diane,,,,ut
1273973316995473410,@GtOpinion #ChineseVirus #CCPVirus https://t.co/O2m3Y05jWT,ChineseVirus CCPVirus,und,Fri Jun 19 13:38:02 +0000 2020,1194506499894067200,fvrvax,,,,"Makkah Al Mukarrama, Kingdom o"
